,job,marital,education,housing,loan,contact,poutcome,subscribed,job_num,marital_num,education_num,housing_num,loan_num,contact_num,poutcome_num,subscribed_num
0,blue-collar,married,secondary,no,no,unknown,unknown,no,1,1,1,0,0,2,3,0
1,blue-collar,married,secondary,no,no,cellular,unknown,no,1,1,1,0,0,0,3,0
2,blue-collar,married,unknown,yes,no,unknown,unknown,no,1,1,3,1,0,2,3,0
3,self-employed,married,tertiary,no,no,cellular,unknown,no,6,1,2,0,0,0,3,0
4,technician,married,secondary,no,no,cellular,unknown,no,9,1,1,0,0,0,3,0
5,services,married,secondary,yes,no,unknown,unknown,no,7,1,1,1,0,2,3,0
6,technician,married,unknown,yes,no,cellular,success,yes,9,1,3,1,0,0,2,1
7,technician,single,tertiary,yes,no,cellular,failure,no,9,2,2,1,0,0,0,0
8,blue-collar,married,secondary,yes,no,telephone,unknown,no,1,1,1,1,0,1,3,0
9,management,married,tertiary,yes,no,unknown,unknown,no,4,1,2,1,0,2,3,0
10,retired,married,tertiary,no,no,telephone,failure,yes,5,1,2,0,0,1,0,1
11,student,single,primary,no,no,telephone,success,yes,8,2,0,0,0,1,2,1
12,technician,single,secondary,no,no,cellular,other,no,9,2,1,0,0,0,1,0
13,management,married,tertiary,no,no,cellular,unknown,no,4,1,2,0,0,0,3,0
14,self-employed,single,tertiary,no,no,cellular,success,no,6,2,2,0,0,0,2,0
15,management,married,tertiary,no,yes,cellular,unknown,no,4,1,2,0,1,0,3,0
16,technician,married,primary,yes,no,unknown,unknown,no,9,1,0,1,0,2,3,0
17,services,divorced,secondary,yes,yes,cellular,failure,no,7,0,1,1,1,0,0,0
18,management,single,tertiary,yes,no,cellular,unknown,no,4,2,2,1,0,0,3,0
19,management,married,tertiary,no,no,cellular,unknown,no,4,1,2,0,0,0,3,0
20,blue-collar,married,secondary,yes,yes,unknown,unknown,no,1,1,1,1,1,2,3,0
21,admin.,married,tertiary,yes,no,cellular,unknown,no,0,1,2,1,0,0,3,0
22,technician,divorced,secondary,yes,no,cellular,unknown,no,9,0,1,1,0,0,3,0
23,technician,single,secondary,yes,no,unknown,unknown,no,9,2,1,1,0,2,3,0
24,management,married,tertiary,no,no,unknown,unknown,no,4,1,2,0,0,2,3,0
25,technician,single,secondary,yes,no,cellular,unknown,no,9,2,1,1,0,0,3,0
26,services,single,secondary,yes,no,unknown,unknown,no,7,2,1,1,0,2,3,0
27,blue-collar,married,primary,no,no,unknown,unknown,no,1,1,0,0,0,2,3,0
28,admin.,married,primary,yes,no,cellular,failure,no,0,1,0,1,0,0,0,0
29,services,married,secondary,no,yes,cellular,unknown,no,7,1,1,0,1,0,3,0
30,blue-collar,married,secondary,yes,no,cellular,unknown,no,1,1,1,1,0,0,3,0
31,admin.,divorced,secondary,no,yes,cellular,unknown,no,0,0,1,0,1,0,3,0
32,blue-collar,single,primary,yes,no,cellular,unknown,no,1,2,0,1,0,0,3,0
33,services,married,secondary,yes,no,cellular,unknown,no,7,1,1,1,0,0,3,0
34,entrepreneur,married,tertiary,yes,no,cellular,unknown,no,2,1,2,1,0,0,3,0
35,unemployed,divorced,secondary,no,no,cellular,unknown,no,10,0,1,0,0,0,3,0
36,technician,single,tertiary,no,no,cellular,unknown,no,9,2,2,0,0,0,3,0
37,admin.,married,unknown,no,no,cellular,unknown,no,0,1,3,0,0,0,3,0
38,housemaid,married,primary,no,no,unknown,unknown,no,3,1,0,0,0,2,3,0
39,blue-collar,married,primary,no,no,telephone,other,no,1,1,0,0,0,1,1,0
40,technician,married,secondary,yes,no,cellular,failure,yes,9,1,1,1,0,0,0,1
41,entrepreneur,married,tertiary,yes,no,unknown,unknown,no,2,1,2,1,0,2,3,0
42,blue-collar,married,primary,yes,no,unknown,unknown,no,1,1,0,1,0,2,3,0
43,technician,married,secondary,no,no,cellular,unknown,no,9,1,1,0,0,0,3,0
44,services,single,secondary,yes,yes,unknown,unknown,no,7,2,1,1,1,2,3,0
45,technician,single,secondary,no,no,cellular,unknown,no,9,2,1,0,0,0,3,0
46,management,married,secondary,no,no,telephone,failure,no,4,1,1,0,0,1,0,0
47,management,divorced,secondary,yes,no,cellular,unknown,no,4,0,1,1,0,0,3,0
48,management,married,unknown,yes,yes,unknown,unknown,no,4,1,3,1,1,2,3,0
49,services,divorced,secondary,no,no,cellular,unknown,no,7,0,1,0,0,0,3,0
50,retired,married,secondary,no,no,cellular,unknown,yes,5,1,1,0,0,0,3,1
51,technician,married,secondary,yes,no,unknown,unknown,no,9,1,1,1,0,2,3,0
52,blue-collar,married,primary,yes,no,cellular,other,no,1,1,0,1,0,0,1,0
53,blue-collar,married,secondary,yes,no,cellular,failure,no,1,1,1,1,0,0,0,0
54,blue-collar,single,secondary,yes,no,cellular,unknown,no,1,2,1,1,0,0,3,0
55,management,single,tertiary,no,no,telephone,unknown,no,4,2,2,0,0,1,3,0
56,management,single,tertiary,no,yes,cellular,unknown,no,4,2,2,0,1,0,3,0
57,admin.,married,tertiary,no,no,cellular,failure,yes,0,1,2,0,0,0,0,1
58,services,married,secondary,yes,no,unknown,unknown,no,7,1,1,1,0,2,3,0
59,admin.,single,unknown,yes,no,unknown,unknown,no,0,2,3,1,0,2,3,0
60,retired,married,tertiary,no,yes,cellular,unknown,no,5,1,2,0,1,0,3,0
61,admin.,married,secondary,no,no,cellular,unknown,no,0,1,1,0,0,0,3,0
62,admin.,married,secondary,yes,no,cellular,unknown,no,0,1,1,1,0,0,3,0
63,admin.,single,secondary,no,no,unknown,unknown,no,0,2,1,0,0,2,3,0
64,management,single,tertiary,no,no,cellular,other,yes,4,2,2,0,0,0,1,1
65,management,married,tertiary,yes,no,unknown,unknown,no,4,1,2,1,0,2,3,0
66,management,single,secondary,yes,no,unknown,unknown,no,4,2,1,1,0,2,3,0
67,retired,married,primary,yes,no,unknown,unknown,no,5,1,0,1,0,2,3,0
68,blue-collar,married,tertiary,yes,no,cellular,failure,no,1,1,2,1,0,0,0,0
69,technician,single,tertiary,yes,no,cellular,unknown,yes,9,2,2,1,0,0,3,1
70,services,married,primary,yes,yes,telephone,unknown,no,7,1,0,1,1,1,3,0
71,management,divorced,tertiary,no,no,cellular,unknown,no,4,0,2,0,0,0,3,0
72,self-employed,married,tertiary,no,no,cellular,unknown,yes,6,1,2,0,0,0,3,1
73,management,married,tertiary,no,no,cellular,failure,no,4,1,2,0,0,0,0,0
74,management,married,secondary,yes,no,unknown,unknown,no,4,1,1,1,0,2,3,0
75,unemployed,single,primary,no,no,cellular,unknown,yes,10,2,0,0,0,0,3,1
76,housemaid,married,primary,no,no,cellular,unknown,no,3,1,0,0,0,0,3,0
77,blue-collar,married,secondary,yes,no,unknown,unknown,no,1,1,1,1,0,2,3,0
78,management,married,tertiary,no,no,cellular,success,no,4,1,2,0,0,0,2,0
79,technician,married,secondary,yes,no,cellular,unknown,no,9,1,1,1,0,0,3,0
80,blue-collar,married,secondary,no,no,cellular,unknown,no,1,1,1,0,0,0,3,0
81,entrepreneur,married,secondary,yes,no,unknown,unknown,no,2,1,1,1,0,2,3,0
82,admin.,married,secondary,yes,yes,cellular,unknown,no,0,1,1,1,1,0,3,0
83,services,married,secondary,no,no,cellular,unknown,no,7,1,1,0,0,0,3,0
84,blue-collar,married,primary,no,yes,cellular,unknown,no,1,1,0,0,1,0,3,0
85,blue-collar,married,unknown,no,no,unknown,unknown,no,1,1,3,0,0,2,3,0
86,technician,married,secondary,no,no,unknown,unknown,no,9,1,1,0,0,2,3,0
87,management,married,secondary,no,no,cellular,unknown,no,4,1,1,0,0,0,3,0
88,unemployed,married,secondary,no,no,unknown,unknown,no,10,1,1,0,0,2,3,0
89,admin.,married,secondary,yes,no,cellular,unknown,no,0,1,1,1,0,0,3,0
90,blue-collar,married,secondary,yes,no,unknown,unknown,no,1,1,1,1,0,2,3,0
91,blue-collar,married,primary,yes,no,unknown,unknown,no,1,1,0,1,0,2,3,0
92,services,married,secondary,no,no,cellular,unknown,no,7,1,1,0,0,0,3,0
93,retired,married,secondary,no,yes,cellular,unknown,no,5,1,1,0,1,0,3,0
94,blue-collar,married,secondary,yes,no,cellular,unknown,no,1,1,1,1,0,0,3,0
95,blue-collar,single,secondary,yes,no,cellular,unknown,yes,1,2,1,1,0,0,3,1
96,blue-collar,married,primary,yes,no,cellular,failure,no,1,1,0,1,0,0,0,0
97,admin.,married,secondary,yes,yes,cellular,unknown,no,0,1,1,1,1,0,3,0
98,blue-collar,divorced,primary,yes,no,cellular,unknown,no,1,0,0,1,0,0,3,0
99,admin.,married,primary,yes,no,cellular,unknown,no,0,1,0,1,0,0,3,0
